"","location_name","GSNI_PERIOD","twobias","cvd14fem","cvd14male","cvd14both","cvdratio14","LEbirth2015","MLEbirth2015","phy14edit","scl14","GDP14","MMR14"
"1","Algeria","2010–2014",87,471.026443930645,384.768047582532,415.167239620946,1.22418284701671,77.5,75.6,1.8325,7.9,5494.3523360423,114
"2","Andorra","2005–2009",7.43,95.7991981844161,120.939773216376,108.347385338359,0.792123183603293,84.8,79.56,3.3333,10.2,41303.9293714464,NA
"3","Argentina","2010–2014",42.49,146.196609497441,226.452190022239,181.888551618772,0.645595917986411,79.3,72.9,3.9385,9.8,12334.7982453893,42
"4","Armenia","2010–2014",81.28,305.519578889736,426.579956170886,360.005176805577,0.716207066155133,77.8,70.9,2.8928,11.5,3986.23162376713,27
"5","Australia","2010–2014",23,91.0840142403678,131.18931970482,110.030504435232,0.694294432239678,84.2,80.4,3.4314,12.7,62510.7911705641,6
"6","Azerbaijan","2010–2014",93.82,688.859844920353,835.234362903195,757.216820434448,0.824750364108515,73.4,67.9,3.446,10.7,7891.31314749986,28
"7","Belarus","2010–2014",71.7,383.052276804112,687.912475235788,497.239185497826,0.556832868415154,78.8,68.6,5.012,12.1,8318.51268992675,3
"8","Brazil","2010–2014",52.39,155.719005757812,225.604618680349,187.131840708861,0.690229688863086,78.6,71.7,1.882,7.4,12112.5882059697,62
"9","Bulgaria","2005–2009",44.4,456.082436529759,660.231889435235,546.625927326742,0.690791286861188,78,71.2,3.975,10.9,7876.86646539994,11
"10","Burkina Faso","2005–2009",85.86,258.704227282735,330.445689699271,291.557501309214,0.782894845801058,63.4,58.2,0.0487,1.4,792.846778432074,353
"11","Canada","2005–2009",23.26,85.7429098991462,131.515875742648,106.888286762737,0.651958627922069,83.6,79.9,2.4961,13,50893.4467137547,11
"12","Chile","2010–2014",42.2,113.22186321087,160.688917672666,135.235206360239,0.704602811760239,82.5,77,2.0278,10.1,14670.996760602,15
"13","China","2010–2014",64.42,241.301348269253,407.691802176893,305.194070641526,0.591871965491607,79.9,73.9,1.6877,7.6,7678.59948587483,31
