"","location_name","GSNI_PERIOD","twobias","cvd17fem","cvd17male","cvdratio17","cvd17both","LEbirth2019","MLEbirth2019","phy17edit","scl17","GDP17","MMR17"
"1","Algeria","2010–2014",87,450.744251282552,377.663546458058,1.19350743673803,401.394688865339,78.1,76.2,1.7879,8,4111.29411013269,112
"2","Andorra","2005–2009",7.43,95.8330225241641,117.788262154808,0.813604180679831,106.95304356051,84.95,79.8,3.3333,10.2,38962.8803536703,NA
"3","Argentina","2010–2014",42.49,154.098041622449,235.003799727231,0.655725744865871,190.140648216821,79.5,73.5,3.9901,9.9,14613.0418246696,39
"4","Armenia","2010–2014",81.28,297.693295253638,413.732915671418,0.719530121915809,349.477828531236,79.2,72.5,4.4023,11.7,3914.5012684128,26
"5","Australia","2010–2014",23,87.3321847417054,127.625473238624,0.684284904302907,106.367980681761,84.8,81.3,3.6778,12.9,54027.9668184568,6
"6","Azerbaijan","2010–2014",93.82,685.800221617396,843.829682737076,0.812723510025044,756.757804953343,74.1,68.8,3.446,10.7,4147.08971569171,26
"7","Belarus","2010–2014",71.7,373.297930119676,654.167970931571,0.570645379638627,479.932070958251,79.6,69.7,5.1905,12.3,5761.74712023007,2
"8","Brazil","2010–2014",52.39,149.039820107134,215.667459273403,0.69106308670422,178.943587721134,79.4,72.4,2.1652,7.8,9925.38623770041,60
"9","Bulgaria","2005–2009",44.4,440.646500393185,649.20064303877,0.678752409009659,532.736372045635,78.6,71.6,4.0332,11.8,8334.08172775332,10
"10","Burkina Faso","2005–2009",85.86,264.732463547022,331.475309197236,0.798649118657282,294.962398765924,65.2,60.1,0.0847,1.5,734.994429826895,320
"11","Canada","2005–2009",23.26,83.452929376974,129.113200110236,0.646354743788569,104.499095730834,84.1,80.4,2.6102,13.3,45148.5527061655,10
"12","Chile","2010–2014",42.2,108.900394519721,151.698189660132,0.71787537322432,128.791630667513,83.2,78.1,2.4411,10.3,14999.3700885512,13
"13","China","2010–2014",64.42,226.556163356463,379.896051079297,0.596363565014192,286.837409678436,80.5,74.7,1.9798,7.8,8879.43866711346,29
"14","Colombia","2010–2014",57.21,116.302127869092,152.188640842772,0.764197164946398,132.621494526334,81.9,76.7,2.1064,8.3,6376.70671552601,83
"15","Cyprus","2010–2014",49.44,179.636306522776,198.855764294595,0.903349757850889,196.712385849222,85.1,81.1,1.9509,12.1,26338.6943443136,6
"16","Ecuador","2010–2014",58.9,149.636162520098,189.485727846024,0.789696217340931,168.677819552719,80.5,76.4,2.0368,8.7,6213.50127649921,59
"17","Estonia","2010–2014",51.19,224.065727298695,357.639472711183,0.62651285553047,277.055137025064,82.6,74.7,3.4629,12.7,20458.4607286705,9
"18","Ethiopia","2005–2009",35.14,221.954319246388,228.596918800626,0.970941867505961,225.239021436948,70.5,66.9,0.0986,2.7,768.522307579386,401
"19","Finland","2005–2009",22.67,136.039461499526,223.007221663437,0.61002267318875,175.4447563478,84,79.2,3.8118,12.4,46336.6632530127,3
"20","France","2005–2009",26.81,71.2775856944173,117.477560493882,0.606733621252963,91.330641255186,85.1,79.8,3.2565,11.5,38812.1610341682,8
"21","Georgia","2010–2014",77.12,354.931867299651,609.011080662001,0.582800343983622,457.651199922958,77.8,68.8,6.1297,12.8,4357.00093554628,25
"22","Germany","2010–2014",33.07,134.253722633332,193.74244797076,0.692949449330762,161.489041482771,84.8,78.7,4.2488,14.1,44552.8193719078,7
"23","Ghana","2010–2014",92.69,326.797421988045,292.534095348737,1.11712592543602,315.05670914402,69.2,63.7,0.1359,7.1,2025.93242386751,308
"24","Haiti","2010–2014",92.82,483.52984161991,424.133342205957,1.1400420422149,455.405853738705,64.8,63.3,0.0852,5.3,1294.23974604323,480
"25","Hungary","2005–2009",40.36,252.142668784314,390.150645854517,0.646270027906953,309.656784036087,79.6,73.1,3.3447,11.9,14605.8543453283,12
"26","India","2010–2014",83.25,221.808265638274,290.831968533903,0.762668102672549,255.255243329241,72.2,69.5,0.7779,6.4,1981.6510498992,145
"27","Indonesia","2005–2009",80.36,361.9094462317,416.626191859733,0.86866705287109,389.441085093785,73.3,69.4,0.3767,8,3837.65173121117,177
"28","Iran, Islamic Republic of","2005–2009",92.49,277.881047684842,294.90423293561,0.942275547959042,285.329178422096,79.1,75.7,1.1292,NA,NA,16
"29","Iraq","2010–2014",90.58,365.826469174221,473.03791989893,0.773355483324432,418.207544844926,75,69.9,0.8375,6.8,5205.28825476591,79
"30","Japan","2010–2014",41.67,57.809353550154,99.5067051621179,0.580959378124018,77.0888455269008,86.9,81.5,2.4115,12.8,38386.5111457057,5
"31","Jordan","2010–2014",95.67,251.130598956368,245.089705366444,1.02464768392002,246.400865366025,78.8,77,2.3237,10.4,4234.40313273963,46
"32","Kazakhstan","2010–2014",79.02,408.051086628441,595.593118895425,0.685117194411521,485.399315385585,77.6,70,3.98,11.8,9247.58133129626,10
"33","Korea (Republic of)","2010–2014",62.91,81.8830519299855,110.617512728058,0.740235880472986,95.177112400863,86.1,80.3,2.3608,NA,NA,11
"34","Kuwait","2010–2014",91.56,120.958830499848,221.07636230373,0.547135972563481,181.008462317127,83.9,79.3,2.6463,7.3,29759.4364865575,12
"35","Kyrgyzstan","2010–2014",84.87,408.285245192443,613.384272103131,0.665627183091183,493.820818383418,77.3,70.7,NA,10.9,NA,NA
